tweet_id,summary,crypto_relevance,technical_knowledge,crypto_sentiments,timestamp
1877128457152266741,"The tweet highlights essential elements for the success of a memecoin, emphasizing AI, humor, and community engagement.",8,5,{'MemeCoin': 9},2025-02-09T00:22:11.223601
1877136575945126260,"The tweet announces a new partnership focused on developing a crypto-related platform, emphasizing recruitment of talent and utilization of AI technology.",8,7,"{'$DIONE': 9, 'Odyssey': 8}",2025-02-09T00:22:12.643917
1877126081536274629,"The user shares a successful trading experience by closing a position for a significant profit, highlighting a conservative trading approach.",9,8,"{'BTC': 7, 'ETH': 6, 'XRP': 5, 'LTC': 6}",2025-02-09T00:22:14.060401
1877128105766117661,"The user expresses strong confidence in the potential of $UFD as a top meme coin, reflecting their long experience in crypto.",9,8,"{'$UFD': 9, '$BTC': 7}",2025-02-09T00:22:15.237131
1877137403304911310,"The tweet promotes an upcoming live interview with a crypto trader, highlighting his trading lessons.",8,5,"{'BTC': 0, 'ETH': 0, 'SOL': 0, 'XRP': 0, 'LTC': 0}",2025-02-09T00:22:17.193582
1877123552245162284,"The tweet promotes a cryptocurrency with over 1500 holders, describing it as undervalued and inviting others to consider investing.",8,4,{'KTY': 7},2025-02-09T00:22:18.892785
1877136888030494876,The user highlights an AI-focused hackathon winner in the crypto space and shares an interview link.,8,7,"{'AI': 8, 'CRYPTO': 7}",2025-02-09T00:22:20.427529
1877126578271863123,The tweet promotes $XRP as the safest crypto asset and encourages users to invest in Ripple.,9,4,"{'$XRP': 9, '$BTC': 2, '$ETH': 2, '$SOL': 2, '$DOGE': 2, '$JELLY': 2, '$MOLLY': 2}",2025-02-09T00:22:22.476396
1877139785174671375,"The tweet announces a new program by HBAR aimed at preventing quantum attacks, emphasizing its innovative approach in the context of cryptocurrency.",8,7,"{'HBAR': 9, 'XRP': 6, 'XLM': 6, 'XDC': 5, 'ALGO': 5, 'IOTA': 4}",2025-02-09T00:22:24.936107
1877118487333589496,"The tweet shares a link to a crypto bull run tier list, inviting followers to engage with market trends.",8,5,"{'BTC': 7, 'ALT': 6, 'NFT': 5}",2025-02-09T00:22:26.273944
1877136831210283412,"The tweet promotes a specific crypto community, likening it to Dogecoin, while suggesting it is a good investment opportunity despite market downturns.",8,4,"{'SPX': 9, 'DOGE': 8}",2025-02-09T00:22:27.710341
1877133841854353445,The tweet expresses confidence in the stability and future potential of ThePlagueNFT despite expectations of a sell-off after the vesting period ended.,8,6,"{'NFT': 8, 'PLAGUE': 7}",2025-02-09T00:22:29.127357
1877129372240384144,"The tweet promotes the $PAPU token and encourages joining its earning program, highlighting potential value increase.",8,4,"{'$PAPU': 9, 'BNB': 6}",2025-02-09T00:22:30.618516
1877133293780390272,"The tweet expresses concern for a fictional character named Floppy, showing a humorous intent within the crypto community.",3,2,"{'$CVE': 4, '$TAO': 3, '$BGM': 3}",2025-02-09T00:22:34.150475
1877125686093095421,"The user expresses bullish sentiment for $SAGE, asserting that its price is expected to rise.",8,3,{'$SAGE': 9},2025-02-09T00:22:35.671544
1877138452510134585,"The user is requesting a creative crypto-related video from another user, incorporating a humorous concept.",5,2,{'$apple': 5},2025-02-09T00:22:37.229881
1877126013504692621,"The tweet expresses a demand for the resignation of Karen Bass, showing a strong political sentiment.",1,2,{},2025-02-09T00:22:38.276604
1877120852698841300,The user is questioning the bearish sentiment in the context of legalizing crypto in the US.,8,4,"{'BTC': 6, 'ETH': 6, 'XRP': 5, 'LTC': 5}",2025-02-09T00:22:40.187053
1877137834869436489,"The tweet anticipates a significant influx of funds into $ZIG following the launch of ZigChain, drawing a parallel to the success of $BNB in 2020.",9,7,"{'$ZIG': 9, '$BNB': 8}",2025-02-09T00:22:41.827218
1877133139140817063,The tweet discusses the mechanics of a deflationary cryptocurrency and predicts that its price will increase over time due to decreasing supply and revenue reinvestment.,9,8,"{'pTGC': 8, 'UFO': 7}",2025-02-09T00:22:46.548932
1876977163154715080,The tweet reports on the sentencing of a cryptocurrency mixer operator involved in laundering a significant amount of funds.,9,6,"{'BTC': 5, 'ETH': 4, 'XMR': 8, 'USDT': 3}",2025-02-09T00:22:48.352125
1877037956826907057,"The tweet invites discussion on the relationship between web3 and crypto, while also educating about the distinctions between cryptocurrency and tokens.",8,6,"{'BTC': 5, 'ETH': 6, 'SOL': 4, 'XRP': 3, 'USDT': 4}",2025-02-09T00:22:50.338117
1877074264668442819,The user expresses strong conviction that Cronos (CRO) is undervalued and urges others not to sell.,8,6,{'CRO': 9},2025-02-09T00:22:51.658723
1877118772043026605,The tweet discusses the integration of cryptocurrency education at a law school and its growing acceptance among students.,8,6,"{'BTC': 7, 'ETH': 5, 'LTC': 6, 'XRP': 4, 'ADA': 5}",2025-02-09T00:22:53.502566
